Month-Year,1st_Revision,2nd_Revision,3rd_Revision
Jun-22,26,-105,-79
Jul-22,-2,11,9
Aug-22,0,-23,-23
Sep-22,52,-46,6
Oct-22,23,-21,2
Nov-22,-7,34,27
Dec-22,37,-21,16
Jan-23,-13,-32,-45
Feb-23,15,-78,-63
Mar-23,-71,52,-19
Apr-23,41,-77,-36
May-23,-33,-25,-58
Jun-23,-24,-80,-104
Jul-23,-30,79,49
Aug-23,40,-62,-22
Sep-23,-39,-34,-74
Oct-23,0,-45,-45
Nov-23,-26,9,-17
Dec-23,117,-43,74
Jan-24,-124,27,-97
Feb-24,-5,-34,-39
Mar-24,12,-5,7
Apr-24,-10,-57,-67
May-24,-54,-2,-56
Jun-24,-27,-61,-88
Jul-24,-25,55,30
Aug-24,17,-81,-64
Sep-24,-31,32,1
Oct-24,24,7,31
Nov-24,-15,49,34
Dec-24,51,16,67
Jan-25,-18,-14,-32
Feb-25,-34,-15,-49
Mar-25,-43,-65,-108
Apr-25,-30,11,-19
May-25,5,-125,-120
Jun-25,-133,,
Jul-25,,,
Aug-25,,,
Sep-25,,,
Oct-25,,,
Nov-25,,,
Dec-25,,,
